,path,newpath,space,graph_matrix,room_num,other_room_num,other_ratio
148,D:/Dataset/cubicasa5k//high_quality_architectural/381/model.svg,381,"['Other0', 'Outdoor0', 'Outdoor1', 'Other1', 'Kitchen0', 'LivingRoom0', 'Entry0', 'Bedroom0', 'Storage0', 'Bath0', 'Other2', 'Storage1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,3,0.23076923076923078
149,D:/Dataset/cubicasa5k//high_quality_architectural/233/model.svg,233,"['Garage0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",2,0,0.0
150,D:/Dataset/cubicasa5k//high_quality_architectural/8609/model.svg,8609,"['LivingRoom0', 'Entry0', 'Kitchen0', 'Bedroom0', 'Other0', 'Other1', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,2,0.2857142857142857
151,D:/Dataset/cubicasa5k//high_quality_architectural/616/model.svg,616,"['Dining0', 'Kitchen0', 'Entry0', 'LivingRoom0', 'Outdoor0', 'Outdoor1', 'Bedroom0', 'Other0', 'Storage0', 'Other1', 'Storage1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,2,0.16666666666666666
153,D:/Dataset/cubicasa5k//high_quality_architectural/4866/model.svg,4866,"['Other0', 'Kitchen0', 'Other1', 'Entry0', 'Outdoor0', 'Outdoor1', 'Bath0', 'Other2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",8,3,0.375
154,D:/Dataset/cubicasa5k//high_quality_architectural/8687/model.svg,8687,"['Kitchen0', 'LivingRoom0', 'Entry0', 'Bedroom0', 'Bedroom1', 'Storage0', 'Bath0', 'Other0', 'Entry1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,1,0.1
155,D:/Dataset/cubicasa5k//high_quality_architectural/956/model.svg,956,"['Outdoor0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Storage0', 'Other0', 'Other1', 'Entry0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",8,2,0.25
156,D:/Dataset/cubicasa5k//high_quality_architectural/5791/model.svg,5791,"['Other0', 'Storage0', 'Other1', 'Bath0', 'Entry0', 'Storage1', 'Storage2', 'Other2', 'Storage3', 'Other3', 'Other4', 'Bath1', 'Storage4', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Bedroom3', 'Outdoor0', 'Outdoor1', 'Outdoor2', 'Storage5', 'Other5', 'Kitchen0', 'Other6', 'Entry1', 'LivingRoom0', 'Storage6']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",27,7,0.25925925925925924
157,D:/Dataset/cubicasa5k//high_quality_architectural/1888/model.svg,1888,"['LivingRoom0', 'Kitchen0', 'Outdoor0', 'Bedroom0', 'Other0', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285
158,D:/Dataset/cubicasa5k//high_quality_architectural/6076/model.svg,6076,"['Outdoor0', 'Other0', 'Bath0', 'Bedroom0', 'Kitchen0', 'Entry0', 'LivingRoom0', 'Bedroom1', 'Bedroom2', 'Storage0', 'Bath1', 'Storage1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,1,0.07692307692307693
159,D:/Dataset/cubicasa5k//high_quality_architectural/8745/model.svg,8745,"['Outdoor0', 'Entry0', 'Bath0', 'LivingRoom0', 'Bedroom0', 'Kitchen0', 'Other0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285
160,D:/Dataset/cubicasa5k//high_quality_architectural/5885/model.svg,5885,"['Outdoor0', 'Other0', 'Other1', 'Entry0', 'Other2', 'LivingRoom0', 'Kitchen0', 'Bath0', 'Other3', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,4,0.4
161,D:/Dataset/cubicasa5k//high_quality_architectural/13/model.svg,13,"['Outdoor0', 'Outdoor1', 'Other0', 'LivingRoom0', 'Other1', 'Kitchen0', 'Other2', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Bath0', 'Other3']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,4,0.3333333333333333
163,D:/Dataset/cubicasa5k//high_quality_architectural/6352/model.svg,6352,"['Outdoor0', 'Kitchen0', 'LivingRoom0', 'Entry0', 'Bedroom0', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,0,0.0
164,D:/Dataset/cubicasa5k//high_quality_architectural/1843/model.svg,1843,"['Outdoor0', 'LivingRoom0', 'LivingRoom1', 'Entry0', 'Kitchen0', 'Bedroom0', 'Bath0', 'Bedroom1', 'Storage0', 'Other0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,1,0.1
165,D:/Dataset/cubicasa5k//high_quality_architectural/3637/model.svg,3637,"['LivingRoom0', 'Outdoor0', 'Other0', 'LivingRoom1', 'Other1', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,2,0.3333333333333333
166,D:/Dataset/cubicasa5k//high_quality_architectural/908/model.svg,908,"['Outdoor0', 'Outdoor1', 'Kitchen0', 'Dining0', 'LivingRoom0', 'Entry0', 'Bedroom0', 'Bedroom1', 'Storage0', 'Bath0', 'Other0', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,1,0.08333333333333333
167,D:/Dataset/cubicasa5k//high_quality_architectural/7624/model.svg,7624,"['Outdoor0', 'Outdoor1', 'Kitchen0', 'Dining0', 'LivingRoom0', 'Entry0', 'Bedroom0', 'Bedroom1', 'Bath0', 'Storage0', 'Entry1', 'Other0', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,1,0.07692307692307693
168,D:/Dataset/cubicasa5k//high_quality_architectural/3844/model.svg,3844,"['Outdoor0', 'Dining0', 'Kitchen0', 'Other0', 'Bath0', 'LivingRoom0', 'Bedroom0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285
171,D:/Dataset/cubicasa5k//high_quality_architectural/9993/model.svg,9993,"['Outdoor0', 'Entry0', 'LivingRoom0', 'Bedroom0', 'Kitchen0', 'Bedroom1', 'Bath0', 'Other0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,1,0.1111111111111111
172,D:/Dataset/cubicasa5k//high_quality_architectural/9763/model.svg,9763,"['Bath0', 'Other0', 'Storage0', 'Outdoor0', 'Entry0', 'Kitchen0', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,2,0.2857142857142857
173,D:/Dataset/cubicasa5k//high_quality_architectural/2176/model.svg,2176,"['Outdoor0', 'Entry0', 'Bath0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Bath1', 'Other0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",8,1,0.125
174,D:/Dataset/cubicasa5k//high_quality_architectural/7857/model.svg,7857,"['LivingRoom0', 'Entry0', 'Kitchen0', 'Bedroom0', 'Bath0', 'Storage0', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,0,0.0
175,D:/Dataset/cubicasa5k//high_quality_architectural/6051/model.svg,6051,"['Other0', 'LivingRoom0', 'Outdoor0', 'Bedroom0', 'Bath0', 'Storage0', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,2,0.2857142857142857
176,D:/Dataset/cubicasa5k//high_quality_architectural/1088/model.svg,1088,"['Outdoor0', 'Outdoor1', 'LivingRoom0', 'Kitchen0', 'Entry0', 'Bedroom0', 'Bedroom1', 'Other0', 'Storage0', 'Storage1', 'Other1', 'Bath0', 'Storage2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,2,0.15384615384615385
177,D:/Dataset/cubicasa5k//high_quality_architectural/9318/model.svg,9318,"['Outdoor0', 'Outdoor1', 'Other0', 'Kitchen0', 'Dining0', 'LivingRoom0', 'Entry0', 'Bedroom0', 'Bath0', 'Storage0', 'Other1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,2,0.16666666666666666
178,D:/Dataset/cubicasa5k//high_quality_architectural/4876/model.svg,4876,"['Outdoor0', 'Outdoor1', 'LivingRoom0', 'Entry0', 'Kitchen0', 'Bath0', 'Storage0', 'Outdoor2', 'Garage0', 'Other0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Bedroom3', 'Entry1', 'Other1', 'Storage1', 'Bath1', 'Other2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",19,3,0.15789473684210525
179,D:/Dataset/cubicasa5k//high_quality_architectural/8143/model.svg,8143,"['Kitchen0', 'Dining0', 'Entry0', 'LivingRoom0', 'Outdoor0', 'Outdoor1', 'Bedroom0', 'Bath0', 'Other0', 'Storage0', 'Entry1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,1,0.08333333333333333
180,D:/Dataset/cubicasa5k//high_quality_architectural/1757/model.svg,1757,"['Storage0', 'Outdoor0', 'Entry0', 'Other0', 'Storage1', 'Bath0', 'Bedroom0', 'Outdoor1', 'Entry1', 'LivingRoom0', 'Kitchen0', 'Bedroom1', 'Other1', 'Bath1', 'Bedroom2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",15,2,0.13333333333333333
181,D:/Dataset/cubicasa5k//high_quality_architectural/5052/model.svg,5052,"['Outdoor0', 'Entry0', 'Storage0', 'Dining0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Bedroom1', 'Bath0', 'Other0', 'Storage1', 'Entry1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 4. ... 0. 0. 0.]
 [0. 3. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,1,0.07692307692307693
182,D:/Dataset/cubicasa5k//high_quality_architectural/4825/model.svg,4825,"['LivingRoom0', 'Bath0', 'Other0', 'Bedroom0', 'Bedroom1', 'Bath1', 'Other1', 'Kitchen0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,2,0.2222222222222222
183,D:/Dataset/cubicasa5k//high_quality_architectural/6660/model.svg,6660,"['Outdoor0', 'LivingRoom0', 'Bath0', 'Storage0', 'Kitchen0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",5,0,0.0
184,D:/Dataset/cubicasa5k//high_quality_architectural/1507/model.svg,1507,"['Outdoor0', 'Outdoor1', 'Entry0', 'LivingRoom0', 'Storage0', 'Bath0', 'Bedroom0', 'Kitchen0', 'Bedroom1', 'Bedroom2', 'Bedroom3', 'Storage1', 'Bath1', 'Other0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",14,1,0.07142857142857142
186,D:/Dataset/cubicasa5k//high_quality_architectural/4698/model.svg,4698,"['Outdoor0', 'Outdoor1', 'LivingRoom0', 'Kitchen0', 'Bedroom0', 'Other0', 'Bedroom1', 'Storage0', 'Bath0', 'Entry0', 'Storage1', 'Other1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,2,0.15384615384615385
187,D:/Dataset/cubicasa5k//high_quality_architectural/1886/model.svg,1886,"['Outdoor0', 'Outdoor1', 'LivingRoom0', 'Kitchen0', 'Bedroom0', 'Other0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285
188,D:/Dataset/cubicasa5k//high_quality_architectural/6172/model.svg,6172,"['Outdoor0', 'Dining0', 'Kitchen0', 'LivingRoom0', 'Entry0', 'Bedroom0', 'Bath0', 'Entry1', 'Other0', 'Storage0', 'Storage1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,1,0.08333333333333333
189,D:/Dataset/cubicasa5k//high_quality_architectural/9082/model.svg,9082,"['Outdoor0', 'Bedroom0', 'Bath0', 'Kitchen0', 'LivingRoom0', 'Bath1', 'Entry0', 'Bedroom1', 'Entry1', 'Storage0', 'Storage1', 'Other0', 'Storage2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,1,0.07692307692307693
191,D:/Dataset/cubicasa5k//high_quality_architectural/524/model.svg,524,"['Bath0', 'Storage0', 'Storage1', 'Other0', 'Bath1', 'Bedroom0', 'Bedroom1', 'Other1', 'Dining0', 'Kitchen0', 'LivingRoom0', 'Entry0', 'Outdoor0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,2,0.15384615384615385
192,D:/Dataset/cubicasa5k//high_quality_architectural/1142/model.svg,1142,"['Outdoor0', 'Kitchen0', 'Dining0', 'LivingRoom0', 'Entry0', 'Other0', 'Other1', 'Bedroom0', 'Bedroom1', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,2,0.2
193,D:/Dataset/cubicasa5k//high_quality_architectural/6696/model.svg,6696,"['Outdoor0', 'Other0', 'Outdoor1', 'Outdoor2', 'Entry0', 'LivingRoom0', 'Kitchen0', 'Dining0', 'Bedroom0', 'Bedroom1', 'Storage0', 'Bedroom2', 'Storage1', 'Bath0', 'Other1', 'Storage2', 'Bath1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 2. ... 0. 0. 0.]
 [0. 1. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",18,2,0.1111111111111111
194,D:/Dataset/cubicasa5k//high_quality_architectural/3658/model.svg,3658,"['Outdoor0', 'Entry0', 'Kitchen0', 'LivingRoom0', 'Outdoor1', 'Other0', 'Bedroom0', 'Bedroom1', 'Bath0', 'Storage0', 'Bath1', 'Storage1', 'Entry1', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 4. ... 0. 0. 0.]
 [0. 3. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",14,2,0.14285714285714285
195,D:/Dataset/cubicasa5k//high_quality_architectural/8172/model.svg,8172,"['Outdoor0', 'LivingRoom0', 'Other0', 'Bedroom0', 'Bedroom1', 'Kitchen0', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",8,1,0.125
196,D:/Dataset/cubicasa5k//high_quality_architectural/1386/model.svg,1386,"['Entry0', 'Kitchen0', 'Outdoor0', 'LivingRoom0', 'Bedroom0', 'Bath0', 'Other0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285
197,D:/Dataset/cubicasa5k//high_quality_architectural/3925/model.svg,3925,"['LivingRoom0', 'Entry0', 'Kitchen0', 'Bedroom0', 'Outdoor0', 'Bath0', 'Other0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285
198,D:/Dataset/cubicasa5k//high_quality_architectural/7067/model.svg,7067,"['Outdoor0', 'Other0', 'Kitchen0', 'Entry0', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",5,1,0.2
199,D:/Dataset/cubicasa5k//high_quality_architectural/9610/model.svg,9610,"['LivingRoom0', 'Entry0', 'Kitchen0', 'Bedroom0', 'Bedroom1', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,0,0.0
200,D:/Dataset/cubicasa5k//high_quality_architectural/5911/model.svg,5911,"['Outdoor0', 'Outdoor1', 'Entry0', 'Dining0', 'Other0', 'Kitchen0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Storage0', 'Storage1', 'Other1', 'Bath0', 'Storage2', 'Other2', 'Entry1', 'Bath1', 'Other3', 'Other4']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",19,5,0.2631578947368421
201,D:/Dataset/cubicasa5k//high_quality_architectural/486/model.svg,486,"['Entry0', 'Kitchen0', 'Other0', 'Other1', 'Other2', 'Storage0', 'Entry1', 'Bath0', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 5. ... 0. 0. 0.]
 [0. 8. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,3,0.3333333333333333
202,D:/Dataset/cubicasa5k//high_quality_architectural/5098/model.svg,5098,"['Outdoor0', 'LivingRoom0', 'Kitchen0', 'Entry0', 'Bedroom0', 'Bedroom1', 'Bath0', 'Other0', 'Bath1', 'Storage0', 'Storage1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",11,1,0.09090909090909091
204,D:/Dataset/cubicasa5k//high_quality_architectural/2/model.svg,2,"['Outdoor0', 'Outdoor1', 'LivingRoom0', 'Kitchen0', 'Entry0', 'Bath0', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,0,0.0
